#k  alpha sigma peak_neg peak_pos  theta_neg  theta_pos  peak_separation
54.5982 -0.8 403.429 -6.31376 3.56347 -0.26 1.66 1.92
1 -0.8 2980.96 -2.31087 1.34052 2.18 3.78 1.6
0.000335463 -0.8 403.429 -0.0186639 0.0107283 6.04 7.64 1.6
0.0183156 -0.8 2980.96 -0.267051 0.154513 4.38 5.98 1.6
54.5982 -0.8 2980.96 -13.2097 7.44794 0.14 1.94 1.8
0.000335463 -0.8 2980.96 -0.0291475 0.0167034 6.6 8.2 1.6
1 -0.6 4.53999e-05 -0.00297732 0.00211805 -1.08 1.18 2.26
0.0183156 -0.6 4.53999e-05 -0.0021792 0.00137864 -0.44 1.56 2
54.5982 -0.6 4.53999e-05 -0.00300506 0.00235335 -1.12 1.14 2.26
0.000335463 -0.6 4.53999e-05 -0.00040478 0.000272593 1.6 3.38 1.78
1 -0.6 0.000335463 -0.00796826 0.00545143 -1.04 1.2 2.24
0.0183156 -0.6 0.000335463 -0.00448201 0.00287082 -0.02 1.86 1.88
54.5982 -0.6 0.000335463 -0.00816612 0.00629716 -1.12 1.14 2.26
0.000335463 -0.6 0.000335463 -0.000618381 0.000418655 2.2 3.98 1.78
1 -0.6 0.00247875 -0.0208366 0.0136997 -0.94 1.26 2.2
0.0183156 -0.6 0.00247875 -0.00826022 0.00540347 0.46 2.3 1.84
54.5982 -0.6 0.00247875 -0.0221795 0.0167535 -1.12 1.14 2.26
0.000335463 -0.6 0.00247875 -0.000924223 0.000626772 2.82 4.6 1.78
1 -0.6 0.0183156 -0.0518955 0.0331123 -0.74 1.36 2.1
0.0183156 -0.6 0.0183156 -0.0139303 0.00927582 1.02 2.82 1.8
54.5982 -0.6 0.0183156 -0.0601574 0.0442421 -1.1 1.16 2.26
0.000335463 -0.6 0.0183156 -0.00136451 0.000924683 3.44 5.2 1.76
1 -0.6 0.135335 -0.11898 0.0752643 -0.44 1.56 2
0.0183156 -0.6 0.135335 -0.0221004 0.0148813 1.6 3.38 1.78
54.5982 -0.6 0.135335 -0.162556 0.115636 -1.08 1.18 2.26
0.000335463 -0.6 0.135335 -0.00200107 0.00135358 4.06 5.84 1.78
1 -0.6 1 -0.244712 0.156741 -0.02 1.86 1.88
0.0183156 -0.6 1 -0.0337632 0.0228578 2.2 3.98 1.78
54.5982 -0.6 1 -0.435053 0.297638 -1.04 1.2 2.24
0.000335463 -0.6 1 -0.00292396 0.00197306 4.68 6.46 1.78
1 -0.6 7.38906 -0.45101 0.295019 0.46 2.3 1.84
0.0183156 -0.6 7.38906 -0.0504637 0.0342207 2.82 4.6 1.78
54.5982 -0.6 7.38906 -1.13765 0.747976 -0.94 1.26 2.2
0.000335463 -0.6 7.38906 -0.00426419 0.00286985 5.3 7.08 1.78
1 -0.6 54.5982 -0.760663 0.50644 1.02 2.82 1.8
0.0183156 -0.6 54.5982 -0.0745112 0.0504865 3.44 5.2 1.76
54.5982 -0.6 54.5982 -2.83347 1.80785 -0.74 1.36 2.1
0.000335463 -0.6 54.5982 -0.00621253 0.00416849 5.92 7.7 1.78
1 -0.6 403.429 -1.2071 0.812496 1.6 3.38 1.78
0.0183156 -0.6 403.429 -0.109302 0.0739051 4.06 5.84 1.78
54.5982 -0.6 403.429 -6.49695 4.10916 -0.44 1.56 2
1 -0.6 2980.96 -1.84543 1.24804 2.2 3.98 1.78
