#k  alpha  peak_neg  peak_pos  theta_neg  theta_pos  peak_separation
0.135335 -1.6 -0.737567 0.291495 1.54 3.42 1.88
7.38906 -1.6 -2.40964 0.963133 -0.1 2.2 2.3
0.00247875 -1.4 -0.129145 0.0555479 3.3 5.12 1.82
0.135335 -1.4 -0.626915 0.271686 1.62 3.52 1.9
7.38906 -1.4 -2.28978 1.00181 -0.16 2.16 2.32
403.429 -1.4 -4.18926 2.06261 -2.24 1.46 3.7
0.00247875 -1.2 -0.0936229 0.0437694 3.96 5.4 1.44
7.38906 -1.2 -2.24171 1.05469 0.46 2.14 1.68
0.135335 -1.2 -0.535168 0.251233 2.16 3.64 1.48
403.429 -1.2 -4.17747 2.21675 -0.8 1.4 2.2
0.00247875 -1 -0.064467 0.0331526 4.24 5.74 1.5
7.38906 -1 -2.21234 1.12952 0.4 2.1 1.7
0.135335 -1 -0.446472 0.230435 2.26 3.78 1.52
403.429 -1 -4.22529 2.40396 -0.88 1.34 2.22
7.38906 -0.8 -2.19488 1.24062 0.28 2.04 1.76
0.00247875 -0.8 -0.0413586 0.0239322 4.54 6.14 1.6
0.135335 -0.8 -0.361393 0.209922 2.34 3.96 1.62
403.429 -0.8 -4.27162 2.63314 -0.96 1.28 2.24
0.00247875 -0.6 -0.0242264 0.0163319 4.86 6.64 1.78
0.135335 -0.6 -0.282284 0.191226 2.38 4.16 1.78
7.38906 -0.6 -2.19978 1.41745 0.12 1.98 1.86
403.429 -0.6 -4.31433 2.91539 -1.02 1.22 2.24
0.00247875 -0.4 -0.0126219 0.0105584 5.18 7.28 2.1
7.38906 -0.4 -2.24795 1.73095 -0.16 1.9 2.06
403.429 -0.4 -4.35156 3.2565 -1.06 1.16 2.22
0.135335 -0.4 -0.21213 0.178609 2.34 4.42 2.08
0.00247875 -0.2 -0.00569833 0.00694227 5.32 8.08 2.76
7.38906 -0.2 -2.38333 2.37947 -0.62 1.8 2.42
403.429 -0.2 -4.38253 3.53454 -1.1 1.14 2.24
0.135335 -0.2 -0.155286 0.190117 2.02 4.74 2.72
0.00247875 0 -0.00247545 0.00805824 -2.86 9.14 12
7.38906 0 -2.69462 3.31554 -1.46 1.76 3.22
403.429 0 -4.40724 3.57905 -1.12 1.14 2.26
0.135335 0 -0.12983 0.369823 -2.44 5.14 7.58
7.38906 0.2 -3.23334 3.41596 -2.32 1.9 4.22
0.00247875 0.2 -0.131304 0.0591237 -20 11.1 31.1
0.135335 0.2 -2.18918 1.55467 -20 6.08 26.08
403.429 0.2 -4.42646 3.57803 -1.14 1.14 2.28
7.38906 0.4 -3.7646 3.23127 -2.38 2.06 4.44
0.00247875 0.4 -2.89884 0.699452 -20 14.54 34.54
403.429 0.4 -4.44123 3.57213 -1.14 1.14 2.28
0.135335 0.4 -3.13489 2.03346 -11.56 7.82 19.38
7.38906 0.6 -4.16522 2.93117 -2.16 2.18 4.34
0.00247875 0.6 -3.83594 1.04511 -14.72 20 34.72
0.135335 0.6 -3.83816 1.72348 -8.06 11.12 19.18
403.429 0.6 -4.45254 3.56354 -1.14 1.14 2.28
7.38906 0.8 -4.4647 2.53248 -1.94 2.08 4.02
0.00247875 0.8 -4.42853 0.0574638 -11.22 20 31.22
0.135335 0.8 -4.42952 1.10391 -6.22 20 26.22
403.429 0.8 -4.46131 3.55193 -1.14 1.14 2.28
7.38906 1 -4.6972 2.12994 -1.74 1.48 3.22
0.00247875 1 -4.95011 0.00160199 -9.08 3.06 12.14
0.135335 1 -4.9414 0.0921074 -5.1 2.58 7.68
403.429 1 -4.46836 3.53654 -1.12 1.14 2.26
7.38906 1.2 -4.88477 1.86155 -1.58 0.82 2.4
0.00247875 1.2 -5.42041 0.00130203 -7.64 0.78 8.42
0.135335 1.2 -5.38771 0.0766973 -4.34 0.3 4.64
403.429 1.2 -4.47447 3.51655 -1.12 1.12 2.24
7.38906 1.4 -5.04023 1.71628 -1.44 0.4 1.84
0.00247875 1.4 -5.8504 0.00130825 -6.62 0.12 6.74
0.135335 1.4 -5.77698 0.0797 -3.78 -0.34 3.44
403.429 1.4 -4.48035 3.49116 -1.12 1.1 2.22
7.38906 1.6 -5.17218 1.64299 -1.32 0.12 1.44
0.00247875 1.6 -6.24584 0.00144333 -5.84 -0.26 5.58
0.135335 1.6 -6.1165 0.0906852 -3.36 -0.7 2.66
403.429 1.6 -4.48684 3.46011 -1.1 1.04 2.14
7.38906 1.8 -5.28718 1.61026 -1.2 -0.06 1.14
0.00247875 1.8 -6.6111 0.00169478 -5.22 -0.56 4.66
403.429 1.8 -4.49474 3.4238 -1.1 1 2.1
0.135335 1.8 -6.41265 0.108253 -3.02 -0.94 2.08
20.0855 -2 -3.19754 1.11247 -0.36 2.04 2.4
0.00673795 -2 -0.390323 0.131639 2.44 4.2 1.76
1096.63 -2 -4.94859 1.92524 -1.98 1.52 3.5
0.367879 -2 -1.28443 0.436115 1.08 3 1.92
20.0855 -1.8 -3.09064 1.15386 -0.44 2 2.44
0.00673795 -1.8 -0.317917 0.115319 2.58 4.36 1.78
1096.63 -1.8 -4.78653 2.02489 -2.2 1.48 3.68
0.367879 -1.8 -1.15609 0.421871 1.1 3.04 1.94
20.0855 -1.6 -2.98247 1.2059 -0.54 1.96 2.5
0.00673795 -1.6 -0.25221 0.0992144 2.72 4.52 1.8
1096.63 -1.6 -4.59344 2.14039 -2.48 1.42 3.9
0.367879 -1.6 -1.02884 0.407084 1.14 3.08 1.94
20.0855 -1.4 -2.87444 1.2728 -0.64 1.92 2.56
0.00673795 -1.4 -0.19372 0.0835194 2.88 4.72 1.84
1096.63 -1.4 -4.35715 2.27505 -2.84 1.38 4.22
0.367879 -1.4 -0.903599 0.391924 1.18 3.14 1.96
20.0855 -1.2 -2.86194 1.36102 0.08 1.86 1.78
0.00673795 -1.2 -0.146239 0.0684808 3.52 4.96 1.44
1096.63 -1.2 -4.33724 2.43275 -0.96 1.34 2.3
0.367879 -1.2 -0.802736 0.376702 1.72 3.22 1.5
20.0855 -1 -2.88642 1.48129 -0.02 1.8 1.82
0.00673795 -1 -0.105577 0.0543908 3.74 5.24 1.5
1096.63 -1 -4.36307 2.61846 -1 1.28 2.28
0.367879 -1 -0.702558 0.362002 1.76 3.32 1.56
20.0855 -0.8 -2.9317 1.65187 -0.14 1.72 1.86
0.00673795 -0.8 -0.0717233 0.0415886 3.98 5.58 1.6
1096.63 -0.8 -4.38555 2.83796 -1.04 1.24 2.28
0.367879 -0.8 -0.602883 0.349204 1.8 3.42 1.62
20.0855 -0.6 -3.00877 1.9069 -0.32 1.64 1.96
0.00673795 -0.6 -0.0451026 0.0304826 4.24 6.02 1.78
1096.63 -0.6 -4.40435 3.09778 -1.08 1.18 2.26
0.367879 -0.6 -0.506298 0.341591 1.78 3.56 1.78
20.0855 -0.4 -3.1337 2.31501 -0.58 1.52 2.1
